,product_name,product_brand,expire_date,product_code
6377,cola powder flavour 0210,synarome manufacturing company (pvt) ltd,,
6378,cola powder flavour 0210,synarome manufacturing company (pvt) ltd,,
6379,cola powder flavour0410,synarome manufacturing company (pvt) ltd,,
6380,cola s-1805,synarome manufacturing company (pvt) ltd,,
5023,cola sparkling 6107,bell more aromatics,,
7272,cold and sore throat powder,theraflu,,
7274,cold remedy and sinus relief,zican,,
8355,cole slaw,pfeiffer,,
7023,coleslaw/ coleslaw dressing,longson food products sdn bhd,,
7315,"colgate maxfresh cleansmart foam, maxfresh with whitening with mini breath strips clean mint",colgate,,
7318,"colgate maxfresh smartfoam, sparkling whitening cinnamint toothpastes",colgate,,
7324,colgate optic white,colgate,,
7313,colgate optic white toothpaste,colgate,,
7316,colgate sensitive whitening toothpaste,colgate,,
8269,colombian coffee ice cream,turkey hill,,
1353,colostrum powder,defeem sdn. bhd.,30.09.2019,
1354,colour black 100 g,angel candies sdn bhd,31.10.2019,
1355,colour briliant blue 100 g,angel candies sdn bhd,31.10.2019,
1356,colour brown 100 g,angel candies sdn bhd,31.10.2019,
1358,colour cheese powder,360horizonz sdn. bhd.,15.03.2020,
1357,colour cheese powder,kientat trading sdn. bhd.,15.07.2019,
1359,colour green 100 g,angel candies sdn bhd,31.10.2019,
1360,colour lemon yellow 100 g,angel candies sdn bhd,31.10.2019,
1361,colour orange 100 g,angel candies sdn bhd,31.10.2019,
1362,colour purple 100 g,angel candies sdn bhd,31.10.2019,
1363,colour red 100 g,angel candies sdn bhd,31.10.2019,
1364,colour rose pink 100 g,angel candies sdn bhd,31.10.2019,
1365,colour titanium white 1 kg,angel candies sdn bhd,31.10.2019,
5605,combo puri,golden harvest foods (pvt.) ltd.,,
9996,complete pancake mix original,betty crocker,,
6847,compound chocolate,young's private limited,,
7060,"concentrated chicken essence 5kg/bag, 5kg×4bags/ ctn",yunlin yuanchang poultry product coop.,,
6381,cond milk 365,synarome manufacturing company (pvt) ltd,,
5024,cond. milk 4498,bell more aromatics,,
5025,cond. milk 9066,bell more aromatics,,
5026,cond. milk super,bell more aromatics,,
7637,condensed milk,kroger,,
9906,condensed milk,raley's fine food,,
9421,condensed milk,roundy's,,
6382,condensed milk 0605,synarome manufacturing company (pvt) ltd,,
6383,condensed milk 255,synarome manufacturing company (pvt) ltd,,
6384,condensed milk 3500,synarome manufacturing company (pvt) ltd,,
6385,condensed milk 3740,synarome manufacturing company (pvt) ltd,,
6386,condensed milk 400,synarome manufacturing company (pvt) ltd,,
6387,condensed milk 5500,synarome manufacturing company (pvt) ltd,,
6388,condensed milk 8020,synarome manufacturing company (pvt) ltd,,
6389,condensed milk 9066,synarome manufacturing company (pvt) ltd,,
6390,condensed milk 9200,synarome manufacturing company (pvt) ltd,,
6391,condensed milk 9623-i,synarome manufacturing company (pvt) ltd,,
6392,condensed milk bl 8006,synarome manufacturing company (pvt) ltd,,
