product_name,product_brand,expire_date,product_code
Provolone Chicken Breast,Zabiha Halal,,67714 00695
Chicken Breast Strips,Zabiha Halal,,67714 00404
Chicken Breast Nuggets,Zabiha Halal,,67714 00403
Spicy Buffalo Style Chicken Wings,Zabiha Halal,,67714 00343
Chicken Burger,Zabiha Halal,,67714 00419
Natural Light Sour Cream 4% M.F. 500ml,Hewitts,,57853 21407
Natural Sour Cream 14% M.F. 250ml,Hewitts,,57853 11406
Natural Sour Cream 14% M.F. 500ml,Hewitts,,57853 21406
Butter Milk,Hewitts,,57853 51304
Pasteurized Fresh Milk 2% M.F.,Hewitts,,57853 51315
Salsalitta,Zabiha Halal,,67714 00650
Jamaican Style Vegetable Patty - mild 1 patty,Patty King ,,20154 11139
Jamaican Style Beef Patties - spicy,Patty King ,,20154 12299
Jamaican Style Beef Patties - 6 mini ,Patty King ,,20154 12206
Jamaican Style Beef Patties - mild,Patty King ,,20154 11159
Mozzarella High Fat Cheese 2.3 Kg,Grande Cheese,,56119 00005
Ricotta Whey Cheese 380g,Grande Cheese,,56119 00012
Real Coconut Whipped Cream,Gay Lea,,66013 58352
Sour Cream - Lactose Free,Gay Lea,,66013 14165
Beef Patties,Patty King ,,24967 60005
Chicken Wiener,Zabiha Halal,,67714 00203
Chicken Bologna,Zabiha Halal,,67714 00337
Cooked Chicken Breast - smoked,Zabiha Halal,,67714 00665
Cooked Chicken Breast - Original,Zabiha Halal,,67714 00666
Sour Cream - Original,Gay Lea,,66013 14160
Sour Cream - Low Fat,Gay Lea,,66013 14367
Sour Cream - Fat Free,Gay Lea,,66013 14328
Gold Sour Cream,Gay Lea,,66013 14360
"Real Whipped Cream, 20% MF",Gay Lea,,66013 58355
Kabab Chicken/Poulet,Fresh & Fresh,,56079 00100
Kabab Beef/Boeuf,Fresh & Fresh,,56079 00118
Halal Chicken Wieners 2lb,Harvest Creek,,29810 93155
Smoked Meat,Al-Safa Halal,,24967 01212
"Real Whipped Cream Light, 11% MF",Gay Lea,,66013 58365
Dairy Organic Probiotic Yogurt 0% M.F. 750g,Elite,,32670 00000
Organic Sour Cream 14% M.F. 500g,Elite,,32670 00573
Light Organic Sour Cream 6%M.F. 500g,Elite,,32670 00574
Mascarpone Tre Stelle,Arla,,59441 00140
Mortadella with Olives,Al-Safa Halal,,24967 01210
Roast Beef,Al-Safa Halal,,24967 01202
Salami,Al-Safa Halal,,24967 01206
Smoked Chicken Breast,Al-Safa Halal,,24967 01204
Chicken Breast Burger - Small Pack 340G,Al-Safa Halal,,24967 00805
Bocconcini Large,Arla,,59441 00144
Asiago Shredded Tre Stelle,Arla,,59441 00343
Evaporated Milk ,Perfection,,65114 00921
Sweetened Condensed Milk,Perfection,,66390 23204
Evaporated Milk 2% Partly Skimmed,Perfection,,65114 00922
Pepperoni,Al-Safa Halal,,24967 01216
Beef Wieners 375 g,Al-Safa Halal,,24967 01201
Chicken Bologna,Al-Safa Halal,,24967 01214
Beef Hot Dogs 12.6 Oz,Al-Safa Halal,,24967 43610
Chicken Breast Burger 680 g,Al-Safa Halal,,24967 42102
Butter,Golden Dawn,,55199 01911
Mozzarella Shred P.S.T.S.,Tre Stelle,,59441 00353
Unsalted Butter,Golden Dawn,,55199 01910
Beef Burgers,Al Safa Halal,,24967 00600
Beef Chapli Kebab 510g,Al-Safa Halal,,24967 90578
Beef Chapli Kebab 18 Oz,Al-Safa Halal,,24967 90580
